"ID" "Faltas" "Dever" "Gosta_escola" "Notas" "Alcool_vida" "Inalantes_vida" "Sexo" "Idade" "Ano_escolar" "Autoeficacia" "Intromissao" "Antisocial" "Futuro2"
"590" 590 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 11 6 4.6 1.1 1.01 "COM MUITA SA\XF"
"591" 591 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 11 6 4.6 1.98 1.06 "EU IMAGINO UM P"
"592" 592 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 2 12 7 4.6 2.24 0.96 "EU ME IMAGINO, "
"593" 593 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Sim" "Não" 2 11 6 4.6 3 1.59 "A VIDA VAI SER "
"594" 594 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 2 12 6 4.63 1 1.55 "CASANDO COM FIL"
"595" 595 "Nenhum dia" "Várias vezes" "Adoro" "Médias" "Sim" "Sim" 2 11 6 4.63 1.21 1 "BOA QUE VAI SER"
"596" 596 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 12 7 4.63 1.46 1.23 "EU IMAGINO UM F"
"597" 597 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 1 12 7 4.63 2.79 2.11 "N\XE3O SEI EXAT"
"598" 598 "3 a 5 dias" "Sempre" "Gosto pouco" "Médias" "Não" "Sim" 2 14 7 4.64 2.06 1.32 "TERMINDO MINHA "
"599" 599 "Nenhum dia" "Sempre" "Gosto bastante" "Baixas" "Sim" "Sim" 2 12 7 4.65 2.53 1.43 "BOM, EU QUERO U"
"600" 600 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 11 6 4.65 3.46 1.87 "N\XE3O SEI AIND"
"601" 601 "Nenhum dia" "Muitas vezes" "Não gosto" "Altas" "Sim" "Sim" 2 12 7 4.66 1.96 1.03 "EU ME IMAGINO E"
"602" 602 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 2 11 6 4.66 4.21 1.19 "SOU DE BILOGICA"
"603" 603 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 13 7 4.67 0.93 1.15 "UMA JUIZA, COM "
"604" 604 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 2 11 6 4.67 1.24 0.91 "COM UMA VIDA SU"
"605" 605 "Nenhum dia" "Sempre" "Adoro" "Médias" "Sim" "Sim" 2 12 7 4.68 1.06 1.05 "UM HOMEM BONITO"
"606" 606 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 13 8 4.68 3.25 1.83 "SENDO UMA PESSO"
"607" 607 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 1 NA 9 4.69 1.03 1.12 "ME IMAGINO TRAB"
"608" 608 "Nenhum dia" "Muitas vezes" "Não gosto" "Médias" "Não" "Não" 2 11 6 4.69 1.72 2.15 "NORMAL EU VOU E"
"609" 609 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 13 8 4.7 1.17 1.39 "IMAGINO SENDO U"
"610" 610 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Não" 2 12 6 4.7 3.3 3.17 "QUE EU ME FORME"
"611" 611 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 1 13 8 4.71 1.97 2.59 "BEM SUCEDIDA, E"
"612" 612 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 12 6 4.71 2.46 0.91 "EU IMAGINO UM F"
"613" 613 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 2 14 9 4.72 2.49 1.28 "SENDO FORMADA, "
"614" 614 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Não" 2 11 6 4.72 2.96 1.29 "SER RICO"
"615" 615 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 1 13 8 4.73 1.49 1.7 "UM FUTURO MARAV"
"616" 616 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" NA 11 6 4.73 1.8 1.27 "LEGAL"
"617" 617 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 1 12 6 4.73 4 0.95 "BOM, EU IMAGINO"
"618" 618 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 11 6 4.74 1.04 0.96 "EU IMAGINO QUE "
"619" 619 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 2 11 7 4.74 2.74 1.12 "EU QUERO SER UM"
"620" 620 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 11 6 4.76 1.05 1.01 "SENDO UMA COZIN"
"621" 621 "Nenhum dia" "Muitas vezes" "Adoro" "Médias" "Sim" "Sim" 1 11 6 4.76 1.32 1.08 "COMO UMA ESTILI"
"623" 623 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 11 6 4.77 2.97 1.5 "PODE SER QUE O "
"624" 624 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 14 9 4.78 0.96 2.27 "FORMADA E BEM D"
"625" 625 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 13 7 4.79 0.95 1.03 "EU ME IMAGINO U"
"626" 626 "Nenhum dia" "Muitas vezes" "Adoro" "Altas" "Sim" "Sim" 1 11 6 4.79 1.43 1.33 "EU MI IMAGINO U"
"627" 627 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" 1 13 7 4.8 0.96 1.11 "DATORADA COM UM"
"628" 628 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 2 12 6 4.8 2.98 1.04 "BOA, PORQUE EU "
"629" 629 "3 a 5 dias" "Sempre" "Adoro" "Altas" "Sim" "Sim" 2 12 7 4.81 2.19 0.95 "IMAGINO EU TEND"
"630" 630 "Nenhum dia" "Sempre" "Não gosto" "Altas" "Não" "Sim" 2 13 7 4.81 3.28 0.98 "EU IMAGINO, QUE"
"631" 631 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 1 13 8 4.83 2.19 1.22 "IMAGINO QUE VOU"
"632" 632 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 12 7 4.83 2.24 1.04 "UMA VIDA DE QUA"
"634" 634 "1 ou 2 dias" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 11 6 4.84 1.48 0.95 "SE O MUNDO MELH"
"635" 635 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 2 11 6 4.84 2.31 0.98 "MINHA VIDA NO F"
"636" 636 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 2 11 6 4.85 0.93 1 "EU IMAGINO UMA "
"637" 637 "Nenhum dia" "Raramente" "Adoro" "Altas" "Sim" "Sim" 1 12 8 4.85 1.56 1.43 "EU IMAGINO EVOL"
"638" 638 "Nenhum dia" "Sempre" "Não gosto" "Médias" "Não" "Não" 2 14 8 4.85 2.74 1.8 "QUERO LAN\XE7AR"
"639" 639 "Nenhum dia" "Sempre" "Adoro" "Médias" "Sim" "Sim" 1 12 7 4.86 1.16 1.09 "BOM EU IMAGINO "
"640" 640 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 1 11 6 4.86 2.25 0.98 "EU IMAGINO DIVE"
"641" 641 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 13 7 4.92 1.73 1.06 "EU ME VEJO EM U"
"642" 642 "Nenhum dia" "Sempre" "Adoro" "Médias" "Sim" "Sim" 1 11 6 4.93 1.25 0.94 "COM MUITO DINHE"
"644" 644 "Nenhum dia" "Sempre" "Não gosto" "Altas" "Não" "Sim" 1 13 8 4.93 2.21 1.46 "QUE EU SEJA UMA"
"645" 645 "1 ou 2 dias" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 NA 9 4.93 3.04 4.32 "ME IMAGINO FORM"
"646" 646 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 12 7 4.94 1.02 0.96 "VIVER COM MINHA"
"647" 647 "Nenhum dia" "Sempre" NA "Altas" "Sim" "Sim" 1 13 8 4.96 1.3 1 "ME IMAGINO FORM"
"649" 649 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 11 6 4.96 3.23 1.01 "EU IMAGINO EM U"
"650" 650 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 2 11 6 4.97 1.91 0.97 "QUERO SER UMA P"
"651" 651 "Nenhum dia" "Sempre" "Adoro" "Altas" "Não" "Sim" 1 14 9 4.98 1.18 1.16 "EU ME IMAGINO F"
"652" 652 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 12 6 5.01 1.01 1.09 "VIAJANDO EM VAR"
"653" 653 "Nenhum dia" "Sempre" "Adoro" "Médias" "Sim" "Sim" 2 11 6 5.01 1.76 1.08 "EU IMAGINO TUDO"
"654" 654 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Não" "Sim" 1 13 6 5.02 2.91 1.27 "SEI L\XE1,,,"
"655" 655 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 2 11 6 5.03 4.24 1.02 "EU ME IMAGINO E"
"656" 656 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 2 12 6 5.05 1.24 1.33 "UM EMPRES\XE1RI"
"657" 657 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 2 14 9 5.05 2.75 1.16 "UMA VIDA BEM SU"
"658" 658 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 11 6 5.07 1.01 1.03 "IMAGINO COISAS "
"659" 659 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 11 6 5.09 3.27 1.01 "EU IMAGIO SER U"
